1 3 7   8.66347174126E+002  2.23594009552E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 157   8.66347174126E+002  2.15474674009E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 6   8.66347174126E+002  1.91116667382E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 156   8.66347174126E+002  2.07355338467E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 155   8.66347174126E+002  1.99236002924E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 12   1.29095028652E+002  2.23594009552E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 268   1.29095028652E+002  2.15474674009E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 269   1.29095028652E+002  2.07355338467E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 270   1.29095028652E+002  1.99236002924E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 13   1.29095028652E+002  1.91116667382E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 4 32   1.60004390613E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 7   8.66347174126E+002  2.23594009552E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 157   8.66347174126E+002  2.15474674009E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 6   8.66347174126E+002  1.91116667382E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 156   8.66347174126E+002  2.07355338467E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 155   8.66347174126E+002  1.99236002924E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 12   1.29095028652E+002  2.23594009552E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 268   1.29095028652E+002  2.15474674009E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 269   1.29095028652E+002  2.07355338467E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 270   1.29095028652E+002  1.99236002924E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 13   1.29095028652E+002  1.91116667382E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 4 32   1.60004390613E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 7   8.66347174126E+002  2.23594009552E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 157   8.66347174126E+002  2.15474674009E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 6   8.66347174126E+002  1.91116667382E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 156   8.66347174126E+002  2.07355338467E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 3 155   8.66347174126E+002  1.99236002924E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 12   1.29095028652E+002  2.23594009552E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 268   1.29095028652E+002  2.15474674009E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 269   1.29095028652E+002  2.07355338467E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 270   1.29095028652E+002  1.99236002924E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 2 13   1.29095028652E+002  1.91116667382E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
1 4 32   1.60004390613E+002  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000  0.00000000000E+000
